Category,Item ID,Due Diligence Item,Priority,Status,Owner,Due Date,Notes,Red Flag?
LEGAL - EMPLOYMENT,L019,Staff employment handbook,Medium,Not Started,TKE Legal,,Policy review,
LEGAL - EMPLOYMENT,L020,Benefit plan documents,Medium,Not Started,TKE Legal,,Integration planning,
LEGAL - LITIGATION,L021,Pending litigation list,Critical,Not Started,TKE Legal,,Liability exposure,YES
LEGAL - LITIGATION,L022,Threatened claims or disputes,Critical,Not Started,TKE Legal,,Contingent liabilities,YES
LEGAL - LITIGATION,L023,Malpractice claims history (5 years),High,Not Started,TKE Legal,,Risk assessment,
LEGAL - LITIGATION,L024,Insurance claims history,Medium,Not Started,TKE Legal,,Coverage gaps,
COMPLIANCE,C001,Medicare/Medicaid enrollment status,Critical,Not Started,TKE Compliance,,Active enrollment,
COMPLIANCE,C002,State medical licenses (all providers),Critical,Not Started,TKE Compliance,,Current and valid,
COMPLIANCE,C003,DEA registrations,High,Not Started,TKE Compliance,,Prescriptive authority,
COMPLIANCE,C004,Board certifications,High,Not Started,TKE Compliance,,Credentialing requirements,
COMPLIANCE,C005,OIG exclusion check (all providers/staff),Critical,Not Started,TKE Compliance,,No exclusions,YES
COMPLIANCE,C006,HIPAA policies and procedures,High,Not Started,TKE Compliance,,Compliance program,
COMPLIANCE,C007,Compliance program documentation,High,Not Started,TKE Compliance,,Written program,
COMPLIANCE,C008,Billing compliance audits (last 3 years),High,Not Started,TKE Compliance,,Audit findings,YES
COMPLIANCE,C009,Coding audit results,High,Not Started,TKE Compliance,,E&M accuracy,
COMPLIANCE,C010,RAC/MAC audit history,High,Not Started,TKE Compliance,,Recoupment risk,YES
COMPLIANCE,C011,Stark/Anti-Kickback compliance review,Critical,Not Started,TKE Compliance,,Referral relationships,YES
OPERATIONS,O001,EHR system documentation,High,Not Started,TKE Ops,,Integration planning,
OPERATIONS,O002,Practice management system,High,Not Started,TKE Ops,,Billing system,
OPERATIONS,O003,Patient panel summary,High,Not Started,TKE Ops,,Active patient count,
OPERATIONS,O004,wRVU productivity by provider,High,Not Started,TKE Ops,,Provider efficiency,
OPERATIONS,O005,Appointment volume trends,Medium,Not Started,TKE Ops,,Demand patterns,
OPERATIONS,O006,Staff roster with roles and tenure,High,Not Started,TKE Ops,,Retention planning,
OPERATIONS,O007,Organizational chart,Medium,Not Started,TKE Ops,,Structure,
OPERATIONS,O008,Dialysis rounding schedule,High,Not Started,TKE Ops,,Service coverage,
OPERATIONS,O009,Hospital rounding coverage,High,Not Started,TKE Ops,,Call schedule,
OPERATIONS,O010,Quality metrics (if available),Medium,Not Started,TKE Ops,,Performance data,
INSURANCE,I001,Professional liability insurance policies,Critical,Not Started,TKE Legal,,Tail coverage needs,
INSURANCE,I002,General liability insurance,High,Not Started,TKE Legal,,Coverage levels,
INSURANCE,I003,Workers compensation,High,Not Started,TKE Legal,,Claims history,
INSURANCE,I004,D&O/EPLI insurance,Medium,Not Started,TKE Legal,,Management coverage,
INSURANCE,I005,Cyber liability insurance,Medium,Not Started,TKE Legal,,PHI protection,
DAVITA SPECIFIC,D001,Complete DaVita agreement copies,Critical,Not Started,TKE Legal,,Full contract text,YES
DAVITA SPECIFIC,D002,Change of control provisions,Critical,Not Started,TKE Legal,,Transferability,YES
DAVITA SPECIFIC,D003,Termination provisions,Critical,Not Started,TKE Legal,,Notice requirements,YES
DAVITA SPECIFIC,D004,Revenue from DaVita (3 years),Critical,Not Started,TKE Finance,,Financial exposure,YES
DAVITA SPECIFIC,D005,Medical Director duties and hours,High,Not Started,TKE Ops,,Workload assessment,
DAVITA SPECIFIC,D006,DaVita facility locations covered,High,Not Started,TKE Ops,,Geographic scope,
DAVITA SPECIFIC,D007,DaVita relationship history,Medium,Not Started,TKE,,Relationship quality,
DAVITA SPECIFIC,D008,DaVita regional contact information,High,Not Started,TKE,,Transition planning,
PHYSICIAN SPECIFIC,P001,Dr. Mittal - transition expectations,Critical,Not Started,Dr. Mulay,,Employment terms,
PHYSICIAN SPECIFIC,P002,Dr. Mittal - compensation history,Critical,Not Started,TKE Finance,,MGMA comparison,
PHYSICIAN SPECIFIC,P003,Dr. Goel - retention commitment,Critical,Not Started,Dr. Mulay,,Stay/leave intent,YES
PHYSICIAN SPECIFIC,P004,Dr. Goel - compensation expectations,High,Not Started,TKE Finance,,Cost planning,
PHYSICIAN SPECIFIC,P005,Dr. Shukoor - retention commitment,Critical,Not Started,Dr. Mulay,,Stay/leave intent,YES
PHYSICIAN SPECIFIC,P006,Dr. Shukoor - compensation expectations,High,Not Started,TKE Finance,,Cost planning,
PHYSICIAN SPECIFIC,P007,Non-compete scope and duration (all MDs),Critical,Not Started,TKE Legal,,Geographic restrictions,YES
